vessel,service,ata,atb,ats,liner,berth window,berth,berth status
MSC AMALFI MM 834R,WMED,08/09/18 00:30,08/09/18 20:35,10/09/18 15:05,MSC,04/09/2018 01:00,1,OUT
MSC ORIANE UA 835R,USA-STRING,09/09/18 21:00,10/09/18 03:25,10/09/18 16:39,MSC,07/09/2018 19:00,3,OUT
MSC MARIANNA UA 833A,USA-STRING,10/09/18 04:00,10/09/18 05:15,10/09/18 22:15,MSC,10/09/2018 07:00,2,IN
MSC VITA MM 833A,WMED,11/09/18 19:30,11/09/18 22:05,12/09/18 21:15,MSC,12/09/2018 07:00,1,IN
MOL LONDRINA 0831S,IPANE-ASAS,12/09/18 17:00,12/09/18 20:45,13/09/18 23:45,ONE,09/09/2018 01:00,3,OUT
MSC LILY NA 833A,NWC1,12/09/18 18:30,13/09/18 01:45,14/09/18 17:43,MSC,11/09/2018 19:00,2,OUT
MSC ARICA NA 836R,NWC1,12/09/18 18:30,13/09/18 04:35,14/09/18 11:16,MSC,13/09/2018 07:00,1,IN
MSC JEONGMIN FI 835R,IPANE-ASAS,13/09/18 09:30,14/09/18 04:30,15/09/18 16:50,MSC,13/09/2018 13:00,3,IN
MAERSK LABREA 1813,NEO BOSSA,14/09/18 15:00,14/09/18 17:03,16/09/18 03:15,MAE,15/09/2018 01:00,1,IN
MSC MARGARITA UA 836R,USA-STRING,14/09/18 05:00,14/09/18 21:45,16/09/18 01:35,MSC,14/09/2018 19:00,2,IN
MAERSK LOTA 1810,NEO BOSSA,15/09/18 10:30,15/09/18 20:43,16/09/18 20:50,MAE,16/09/2018 01:00,3,IN
CSAV TRAIGUEN MM 835R,WMED,16/09/18 13:00,16/09/18 15:45,18/09/18 08:14,HLC,11/09/2018 01:00,1,OUT
MSC ALBANY 0832S,IPANE-ASAS,16/09/18 22:00,17/09/18 01:10,17/09/18 23:45,ONE,16/09/2018 01:00,3,OUT
MSC FIAMMETTA UA 834A,USA-STRING,17/09/18 07:30,17/09/18 08:59,18/09/18 07:28,MSC,17/09/2018 07:00,2,OUT
MSC AJACCIO MM 836R,WMED,17/09/18 04:00,18/09/18 03:10,19/09/18 01:35,MSC,18/09/2018 01:00,3,IN
MSC MELINE MM 834A,WMED,18/09/18 18:15,18/09/18 20:45,19/09/18 10:04,MSC,19/09/2018 07:00,2,IN
UASC UMM QASR NA 834A,NWC1,20/09/18 00:30,20/09/18 07:15,21/09/18 02:12,HLC,18/09/2018 19:00,1,OUT
MAERSK LAGUNA 830E,IPANE-ASAS,20/09/18 21:30,21/09/18 01:25,22/09/18 11:38,MAE,20/09/2018 13:00,3,OUT
MSC MARIANNA UA 837R,USA-STRING,20/09/18 19:54,21/09/18 06:23,22/09/18 03:47,MSC,21/09/2018 19:00,1,IN
MONTE SARMIENTO 085S,ALCT2,20/09/18 00:00,21/09/18 07:51,21/09/18 17:25,ALI,21/09/2018 13:00,2,IN
CMA CGM LITANI 0NS17S1MA,NEO BOSSA,21/09/18 14:00,21/09/18 20:40,22/09/18 22:10,CMA,22/09/2018 01:00,2,IN
UASC ZAMZAM NA 837R,NWC1,21/09/18 00:12,22/09/18 07:17,22/09/18 23:11,HLC,20/09/2018 07:00,1,OUT
CMA CGM RIO GRANDE 0NS14N1MA,NEO BOSSA,22/09/18 11:00,22/09/18 20:30,24/09/18 03:07,CMA,23/09/2018 01:00,3,IN
MSC MICHAELA 87S,EXTRA CALL,23/09/18 00:00,23/09/18 03:02,23/09/18 23:37,MSC,EXTRA CALL,2,OUT
MSC GIULIA FI 833A,IPANE-ASAS,23/09/18 19:00,23/09/18 21:25,24/09/18 22:45,MSC,23/09/2018 01:00,1,OUT
CONTI LYON UA 835A,USA-STRING,24/09/18 06:00,24/09/18 08:00,25/09/18 10:05,MSC,24/09/2018 07:00,2,IN
MSC VITA MM 837R,WMED,24/09/18 05:00,24/09/18 14:05,26/09/18 00:10,MSC,25/09/2018 01:00,3,IN
MSC ELODIE NA 835A,NWC1,25/09/18 02:00,25/09/18 03:56,26/09/18 06:15,MSC,25/09/2018 19:00,1,IN
