BERTH_WINDOW,CHEGADA_BARRA,PREVISAO_ATRACACAO,ESCA_DTHR_ATRACACAO,INICIO_OPERACAO,FIM_OPERCACAO,DESATRACACAO,NAVI_NOME,HINA_QTDE_TOTAL_MOV,HINA_CMPH,SERVICO,LINER,BERCO_ATRACACAO
2019/02/04 01:00:00,2019/02/03 20:00:00,2019/02/03 23:00:00,2019/02/03 23:00:00,2019/02/04 03:00:00,2019/02/04 21:40:00,2019/02/04 23:45:00,MOL BEACON,2450,"32,6",IPANE-ASAS,ONE,BTP 2
2019/02/06 19:00:00,2019/02/07 23:00:00,2019/02/08 01:00:00,2019/02/08 00:25:00,2019/02/08 01:40:00,2019/02/08 11:29:00,2019/02/08 16:20:00,FERNÃO DE MAGALHÃES,424,"33,01",ALCT2,ALI,BTP 3
2018/11/21 19:00:00,2018/11/22 07:30:00,2018/11/22 09:00:00,2018/11/22 09:05:00,2018/11/22 10:35:00,2018/11/23 04:53:00,2018/11/23 07:36:00,RIO MADEIRA,1893,"31,88",EXTRA CALL,MAE,BTP 1
2018/12/04 01:00:00,2018/12/02 07:30:00,2018/12/03 15:00:00,2018/12/03 18:40:00,2018/12/03 20:19:00,2018/12/04 13:26:00,2018/12/04 15:10:00,MSC AGADIR,1842,"33,62",WMED,MSC,BTP 3
2018/01/01 00:00:00,2018/11/08 01:00:00,2018/11/08 04:00:00,2018/11/08 04:14:00,2018/11/08 06:21:00,2018/11/08 17:17:00,2018/11/08 19:45:00,MSC PALAK,917,"31,53",NWC1,MSC,BTP 3
2018/11/07 07:00:00,2018/11/07 00:45:00,2018/11/07 09:30:00,2018/11/07 10:06:00,2018/11/07 11:22:00,2018/11/07 21:16:00,2018/11/07 23:40:00,MSC VITA,1092,"33,43",WMED,MSC,BTP 3
2018/10/24 07:00:00,2018/10/25 19:00:00,2018/10/25 21:00:00,2018/10/25 21:07:00,2018/10/25 23:04:00,2018/10/26 10:23:00,2018/10/26 11:40:00,CSAV TRAIGUEN,1007,"35,16",WMED,HLC,BTP 2
2019/03/24 01:00:00,2019/03/23 13:00:00,2019/03/23 18:15:00,2019/03/23 15:37:00,2019/03/23 19:39:00,2019/03/24 10:25:00,2019/03/24 12:14:00,CMA CGM LITANI,1066,"31,35",NEO BOSSA,CMA,BTP 2
2019/01/31 07:00:00,2019/01/30 22:24:00,2019/01/31 04:45:00,2019/01/31 09:45:00,2019/01/31 11:24:00,2019/02/01 00:55:00,2019/02/01 02:35:00,MSC LILY,995,"32,37",NWC1,MSC,BTP 1
2019/03/13 19:00:00,2019/03/13 00:05:00,2019/03/13 11:00:00,2019/03/13 10:35:00,2019/03/13 12:24:00,2019/03/13 18:40:00,2019/03/14 01:45:00,MONTE SARMIENTO,212,"32,94",ALCT2,ALI,BTP 2
